Airline,Journey_Date,Journey_Day,Journey_Month,Flight_Time_Slot,Source,Destination,Route,Airports_Visited,Route_Type,Departure_Time,Arrival_Time,Arrival_Day,Duration,Total_Stops,Additional_Info,Price,Duration_Minutes,Extra_Baggage_Payment
Air India,01-06-2019,Saturday,June,Morning,Delhi,Cochin,DEL → BLR → COK,3,One Stop,9:45,23:00,01-06-2019,13h 15m,1,No info,8907,795,No
IndiGo,18-04-2019,Thursday,April,Evening,Kolkata,Banglore,CCU → BLR,2,Direct,20:20,22:55,18-04-2019,2h 35m,0,No info,4174,155,No
Air India,24-06-2019,Monday,June,Morning,Chennai,Kolkata,MAA → CCU,2,Direct,11:40,13:55,24-06-2019,2h 15m,0,No info,4667,135,No
Jet Airways,09-05-2019,Thursday,May,Evening,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,21:10,9:20,10-05-2019,12h 10m,1,In-flight meal included,9663,730,No
IndiGo,24-04-2019,Wednesday,April,Afternoon,Kolkata,Banglore,CCU → BLR,2,Direct,17:15,19:50,24-04-2019,2h 35m,0,No info,4804,155,No
Air India,03-03-2019,Sunday,March,Afternoon,Delhi,Cochin,DEL → AMD → BOM → COK,4,Two Stops,16:40,19:15,03-03-2019,26h 35m,2,No info,14011,1595,No
SpiceJet,15-04-2019,Monday,April,Morning,Delhi,Cochin,DEL → PNQ → COK,3,One Stop,8:45,13:15,15-04-2019,4h 30m,1,No info,5830,270,No
Jet Airways,12-06-2019,Wednesday,June,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,14:00,12:35,13-06-2019,22h 35m,1,In-flight meal included,10262,1355,No
Air India,12-06-2019,Wednesday,June,Evening,Delhi,Cochin,DEL → CCU → BOM → COK,4,Two Stops,20:15,19:15,13-06-2019,23h,2,No info,13381,1380,No
Jet Airways,27-05-2019,Monday,May,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,16:00,12:35,28-05-2019,20h 35m,1,In-flight meal included,12898,1235,No
GoAir,06-03-2019,Wednesday,March,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,14:10,19:20,06-03-2019,5h 10m,1,No info,19495,310,No
Air India,21-03-2019,Thursday,March,Evening,Banglore,New Delhi,BLR → COK → DEL,3,One Stop,22:00,13:20,22-03-2019,15h 20m,1,No info,6955,920,Yes
IndiGo,03-04-2019,Wednesday,April,Night,Banglore,Delhi,BLR → DEL,2,Direct,4:00,6:50,03-04-2019,2h 50m,0,No info,3943,170,Yes
IndiGo,01-05-2019,Wednesday,May,Evening,Banglore,Delhi,BLR → DEL,2,Direct,18:55,21:50,01-05-2019,2h 55m,0,No info,4823,175,Yes
Jet Airways,06-05-2019,Monday,May,Evening,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,18:55,8:15,07-05-2019,13h 20m,1,In-flight meal included,7757,800,Yes
Jet Airways,09-06-2019,Sunday,June,Evening,Delhi,Cochin,DEL → IDR → BOM → COK,4,Two Stops,21:25,12:35,10-06-2019,15h 10m,2,No info,13292,910,Yes
IndiGo,01-06-2019,Saturday,June,Evening,Delhi,Cochin,DEL → LKO → COK,3,One Stop,21:50,3:35,02-06-2019,5h 45m,1,No info,8238,345,Yes
GoAir,15-05-2019,Wednesday,May,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,7:00,12:55,15-05-2019,5h 55m,1,No info,7682,355,Yes
Vistara,18-06-2019,Tuesday,June,Morning,Banglore,Delhi,BLR → DEL,2,Direct,9:45,12:35,18-06-2019,2h 50m,0,No info,4668,170,Yes
Vistara,15-06-2019,Saturday,June,Morning,Chennai,Kolkata,MAA → CCU,2,Direct,7:05,9:20,15-06-2019,2h 15m,0,No info,3687,135,Yes
Vistara,18-06-2019,Tuesday,June,Morning,Chennai,Kolkata,MAA → CCU,2,Direct,7:05,9:20,18-06-2019,2h 15m,0,No info,3687,135,Yes
Air India,01-05-2019,Wednesday,May,Morning,Kolkata,Banglore,CCU → GAU → DEL → BLR,4,Two Stops,9:50,23:15,01-05-2019,13h 25m,2,No info,13227,805,Yes
IndiGo,06-04-2019,Saturday,April,Night,Banglore,Delhi,BLR → DEL,2,Direct,4:00,6:50,06-04-2019,2h 50m,0,No info,4423,170,Yes
Jet Airways,15-06-2019,Saturday,June,Afternoon,Delhi,Cochin,DEL → NAG → BOM → COK,4,Two Stops,14:35,12:35,16-06-2019,22h,2,In-flight meal included,10919,1320,Yes
Jet Airways,18-05-2019,Saturday,May,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,7:05,12:35,18-05-2019,5h 30m,1,In-flight meal included,12373,330,Yes
IndiGo,27-06-2019,Thursday,June,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,10:35,21:00,27-06-2019,10h 25m,1,No info,5894,625,Yes
SpiceJet,21-05-2019,Tuesday,May,Afternoon,Kolkata,Banglore,CCU → MAA → BLR,3,One Stop,15:05,20:20,21-05-2019,5h 15m,1,No info,4649,315,Yes
Air India,18-05-2019,Saturday,May,Afternoon,Kolkata,Banglore,CCU → BLR,2,Direct,14:15,16:45,18-05-2019,2h 30m,0,No info,6245,150,Yes
Jet Airways,06-03-2019,Wednesday,March,Morning,Banglore,New Delhi,BLR → BOM → DEL,3,One Stop,7:00,13:15,06-03-2019,6h 15m,1,No info,19225,375,Yes
Jet Airways,03-06-2019,Monday,June,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,7:05,19:00,03-06-2019,11h 55m,1,No info,14924,715,Yes
Multiple carriers,21-05-2019,Tuesday,May,Morning,Delhi,Cochin,DEL → HYD → COK,3,One Stop,7:05,18:10,21-05-2019,11h 5m,1,No info,9646,665,Yes
Air India,15-03-2019,Friday,March,Morning,Banglore,New Delhi,BLR → BOM → DEL,3,One Stop,6:45,15:15,15-03-2019,8h 30m,1,No info,8714,510,Yes
Jet Airways,18-05-2019,Saturday,May,Evening,Delhi,Cochin,DEL → BOM → COK,3,One Stop,20:55,19:00,19-05-2019,22h 5m,1,In-flight meal included,12373,1325,Yes
Air Asia,06-05-2019,Monday,May,Morning,Banglore,Delhi,BLR → DEL,2,Direct,11:10,13:55,06-05-2019,2h 45m,0,No info,3383,165,Yes
Multiple carriers,21-03-2019,Thursday,March,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,9:00,21:00,21-03-2019,12h,1,No info,13062,720,Yes
SpiceJet,24-03-2019,Sunday,March,Night,Banglore,New Delhi,BLR → DEL,2,Direct,5:45,8:35,24-03-2019,2h 50m,0,No check-in baggage included,3527,170,Yes
IndiGo,27-05-2019,Monday,May,Night,Banglore,Delhi,BLR → DEL,2,Direct,4:00,6:50,27-05-2019,2h 50m,0,No info,3943,170,Yes
Air India,03-05-2019,Friday,May,Morning,Chennai,Kolkata,MAA → CCU,2,Direct,11:40,13:55,03-05-2019,2h 15m,0,No info,4667,135,Yes
Air India,15-05-2019,Wednesday,May,Evening,Kolkata,Banglore,CCU → HYD → BLR,3,One Stop,19:00,11:05,16-05-2019,16h 5m,1,No info,6117,965,Yes
Jet Airways,27-06-2019,Thursday,June,Evening,Delhi,Cochin,DEL → AMD → BOM → COK,4,Two Stops,23:05,19:00,28-06-2019,19h 55m,2,In-flight meal included,11150,1195,Yes
Jet Airways,09-03-2019,Saturday,March,Morning,Delhi,Cochin,DEL → COK,2,Direct,11:00,14:15,09-03-2019,3h 15m,0,In-flight meal included,7202,195,Yes
Jet Airways,01-05-2019,Wednesday,May,Morning,Kolkata,Banglore,CCU → DEL → BLR,3,One Stop,9:35,10:55,01-05-2019,25h 20m,1,No info,12121,1520,Yes
IndiGo,24-03-2019,Sunday,March,Evening,Banglore,New Delhi,BLR → DEL,2,Direct,22:20,1:10,25-03-2019,2h 50m,0,No info,4377,170,Yes
IndiGo,18-06-2019,Tuesday,June,Evening,Banglore,Delhi,BLR → DEL,2,Direct,21:15,0:15,19-06-2019,3h,0,No info,3943,180,Yes
Air Asia,03-04-2019,Wednesday,April,Evening,Banglore,Delhi,BLR → DEL,2,Direct,23:55,2:45,04-04-2019,2h 50m,0,No info,4483,170,Yes
Jet Airways,24-03-2019,Sunday,March,Evening,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,19:45,12:00,25-03-2019,16h 15m,1,No info,14231,975,Yes
Air India,01-03-2019,Friday,March,Morning,Banglore,New Delhi,BLR → BOM → AMD → DEL,4,Two Stops,8:50,23:55,01-03-2019,15h 5m,2,No info,17345,905,Yes
Vistara,06-03-2019,Wednesday,March,Morning,Chennai,Kolkata,MAA → CCU,2,Direct,7:05,9:20,06-03-2019,2h 15m,0,No info,7414,135,Yes
Multiple carriers,06-05-2019,Monday,May,Evening,Delhi,Cochin,DEL → BOM → COK,3,One Stop,19:00,1:30,07-05-2019,6h 30m,1,No info,8073,390,Yes
Vistara,06-03-2019,Wednesday,March,Afternoon,Mumbai,Hyderabad,BOM → DEL → HYD,3,One Stop,15:40,16:45,06-03-2019,25h 5m,1,No info,12395,1505,Yes
Air India,06-06-2019,Thursday,June,Morning,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,9:25,21:50,06-06-2019,12h 25m,1,No info,8366,745,Yes
Air India,03-04-2019,Wednesday,April,Morning,Delhi,Cochin,DEL → MAA → COK,3,One Stop,6:05,9:25,03-04-2019,27h 20m,1,No info,5117,1640,Yes
Multiple carriers,03-06-2019,Monday,June,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,8:45,19:00,03-06-2019,10h 15m,1,No info,12524,615,Yes
IndiGo,15-05-2019,Wednesday,May,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,15:00,1:30,16-05-2019,10h 30m,1,No info,7191,630,Yes
Vistara,24-05-2019,Friday,May,Morning,Chennai,Kolkata,MAA → CCU,2,Direct,7:05,9:20,24-05-2019,2h 15m,0,No info,3687,135,Yes
IndiGo,24-06-2019,Monday,June,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,10:35,21:00,24-06-2019,10h 25m,1,No info,5894,625,Yes
Vistara,24-04-2019,Wednesday,April,Morning,Banglore,Delhi,BLR → DEL,2,Direct,9:45,12:35,24-04-2019,2h 50m,0,No info,5403,170,Yes
Air India,06-05-2019,Monday,May,Afternoon,Mumbai,Hyderabad,BOM → HYD,2,Direct,13:55,15:25,06-05-2019,1h 30m,0,No info,3625,90,Yes
Air India,21-05-2019,Tuesday,May,Night,Delhi,Cochin,DEL → BHO → BOM → COK,4,Two Stops,5:55,19:15,21-05-2019,13h 20m,2,No info,10861,800,Yes
IndiGo,12-03-2019,Tuesday,March,Afternoon,Chennai,Kolkata,MAA → CCU,2,Direct,13:20,15:35,12-03-2019,2h 15m,0,No info,6297,135,Yes
Jet Airways,01-06-2019,Saturday,June,Morning,Mumbai,Hyderabad,BOM → HYD,2,Direct,7:05,8:30,01-06-2019,1h 25m,0,No info,5678,85,Yes
Jet Airways,09-03-2019,Saturday,March,Night,Banglore,New Delhi,BLR → BOM → DEL,3,One Stop,5:45,8:15,09-03-2019,26h 30m,1,In-flight meal included,9134,1590,Yes
Multiple carriers,24-06-2019,Monday,June,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,11:40,19:00,24-06-2019,7h 20m,1,In-flight meal included,10791,440,Yes
Jet Airways,24-06-2019,Monday,June,Evening,Delhi,Cochin,DEL → AMD → BOM → COK,4,Two Stops,23:05,12:35,25-06-2019,13h 30m,2,In-flight meal included,12819,810,Yes
IndiGo,21-03-2019,Thursday,March,Night,Delhi,Cochin,DEL → BLR → COK,3,One Stop,5:05,10:05,21-03-2019,5h,1,In-flight meal included,6893,300,Yes
Vistara,09-03-2019,Saturday,March,Morning,Banglore,New Delhi,BLR → DEL,2,Direct,9:50,12:35,09-03-2019,2h 45m,0,In-flight meal included,7240,165,Yes
GoAir,03-04-2019,Wednesday,April,Morning,Banglore,Delhi,BLR → DEL,2,Direct,11:40,14:30,03-04-2019,2h 50m,0,No info,3898,170,Yes
IndiGo,03-04-2019,Wednesday,April,Morning,Mumbai,Hyderabad,BOM → HYD,2,Direct,6:25,7:55,03-04-2019,1h 30m,0,No info,4049,90,Yes
Jet Airways,15-06-2019,Saturday,June,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,17:30,12:35,16-06-2019,19h 5m,1,In-flight meal included,10262,1145,Yes
SpiceJet,21-03-2019,Thursday,March,Morning,Chennai,Kolkata,MAA → CCU,2,Direct,8:20,10:35,21-03-2019,2h 15m,0,No check-in baggage included,3332,135,Yes
Jet Airways,09-06-2019,Sunday,June,Evening,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,21:10,12:00,10-06-2019,14h 50m,1,In-flight meal included,10844,890,Yes
Jet Airways,24-03-2019,Sunday,March,Evening,Banglore,New Delhi,BLR → DEL,2,Direct,19:55,22:35,24-03-2019,2h 40m,0,In-flight meal included,7229,160,Yes
Jet Airways,06-05-2019,Monday,May,Morning,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,6:30,4:40,07-05-2019,22h 10m,1,In-flight meal included,13941,1330,Yes
IndiGo,27-06-2019,Thursday,June,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,11:25,21:00,27-06-2019,9h 35m,1,In-flight meal included,5894,575,Yes
Multiple carriers,18-05-2019,Saturday,May,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,9:00,19:00,18-05-2019,10h,1,No info,10197,600,Yes
Jet Airways,06-03-2019,Wednesday,March,Afternoon,Banglore,New Delhi,BLR → BOM → DEL,3,One Stop,14:05,11:25,07-03-2019,21h 20m,1,In-flight meal included,13712,1280,Yes
IndiGo,24-06-2019,Monday,June,Night,Delhi,Cochin,DEL → MAA → COK,3,One Stop,2:00,7:25,24-06-2019,5h 25m,1,In-flight meal included,5636,325,Yes
Jet Airways,06-06-2019,Thursday,June,Morning,Delhi,Cochin,DEL → JAI → BOM → COK,4,Two Stops,9:40,4:25,07-06-2019,18h 45m,2,In-flight meal included,13014,1125,Yes
Jet Airways,01-04-2019,Monday,April,Morning,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,8:25,20:45,01-04-2019,12h 20m,1,In-flight meal included,7064,740,Yes
Jet Airways,24-05-2019,Friday,May,Evening,Kolkata,Banglore,CCU → DEL → BLR,3,One Stop,20:25,14:25,25-05-2019,18h,1,In-flight meal included,10703,1080,Yes
Multiple carriers,27-05-2019,Monday,May,Afternoon,Delhi,Cochin,DEL → HYD → COK,3,One Stop,13:15,22:30,27-05-2019,9h 15m,1,No info,9646,555,Yes
Multiple carriers,06-03-2019,Wednesday,March,Night,Delhi,Cochin,DEL → BOM → COK,3,One Stop,2:15,13:20,06-03-2019,11h 5m,1,No info,17057,665,Yes
Jet Airways,12-03-2019,Tuesday,March,Afternoon,Banglore,New Delhi,BLR → BOM → DEL,3,One Stop,16:55,10:25,13-03-2019,17h 30m,1,No info,13817,1050,Yes
Air India,06-03-2019,Wednesday,March,Night,Delhi,Cochin,DEL → BHO → BOM → COK,4,Two Stops,5:55,19:15,06-03-2019,13h 20m,2,No info,13748,800,Yes
Air India,21-04-2019,Sunday,April,Evening,Kolkata,Banglore,CCU → BLR,2,Direct,20:45,23:20,21-04-2019,2h 35m,0,No info,4880,155,Yes
IndiGo,21-06-2019,Friday,June,Night,Chennai,Kolkata,MAA → CCU,2,Direct,5:15,7:40,21-06-2019,2h 25m,0,No info,3540,145,Yes
SpiceJet,15-05-2019,Wednesday,May,Night,Banglore,Delhi,BLR → DEL,2,Direct,5:55,8:35,15-05-2019,2h 40m,0,No check-in baggage included,3257,160,Yes
Jet Airways,03-06-2019,Monday,June,Evening,Banglore,Delhi,BLR → DEL,2,Direct,19:50,22:50,03-06-2019,3h,0,In-flight meal included,6478,180,Yes
Jet Airways,18-06-2019,Tuesday,June,Morning,Mumbai,Hyderabad,BOM → HYD,2,Direct,7:05,8:30,18-06-2019,1h 25m,0,No info,8040,85,Yes
Jet Airways,12-06-2019,Wednesday,June,Evening,Delhi,Cochin,DEL → ATQ → BOM → COK,4,Two Stops,20:00,12:35,13-06-2019,16h 35m,2,No info,14300,995,Yes
Jet Airways,15-05-2019,Wednesday,May,Morning,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,8:25,20:45,15-05-2019,12h 20m,1,No info,14781,740,Yes
Jet Airways,09-06-2019,Sunday,June,Evening,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,20:00,8:15,10-06-2019,12h 15m,1,No info,14939,735,Yes
Jet Airways,24-06-2019,Monday,June,Evening,Delhi,Cochin,DEL → BOM → COK,3,One Stop,20:55,4:25,25-06-2019,7h 30m,1,In-flight meal included,10262,450,Yes
Air India,12-05-2019,Sunday,May,Afternoon,Kolkata,Banglore,CCU → MAA → BLR,3,One Stop,14:35,14:35,12-05-2019,24h,1,No info,6528,1440,Yes
Air India,01-05-2019,Wednesday,May,Morning,Banglore,Delhi,BLR → DEL,2,Direct,6:10,8:55,01-05-2019,2h 45m,0,No info,6121,165,Yes
Jet Airways,18-05-2019,Saturday,May,Evening,Delhi,Cochin,DEL → JAI → BOM → COK,4,Two Stops,19:30,4:25,19-05-2019,8h 55m,2,In-flight meal included,13029,535,Yes
Multiple carriers,27-03-2019,Wednesday,March,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,11:40,18:50,27-03-2019,7h 10m,1,No info,11421,430,Yes
Multiple carriers,27-03-2019,Wednesday,March,Night,Delhi,Cochin,DEL → BOM → COK,3,One Stop,4:45,19:15,27-03-2019,14h 30m,1,No info,7574,870,Yes
Air India,09-05-2019,Thursday,May,Afternoon,Delhi,Cochin,DEL → JDH → BOM → COK,4,Two Stops,12:55,19:15,09-05-2019,30h 20m,2,No info,11596,1820,Yes
Jet Airways,24-05-2019,Friday,May,Evening,Delhi,Cochin,DEL → AMD → BOM → COK,4,Two Stops,23:05,19:00,25-05-2019,19h 55m,2,No info,15129,1195,Yes
Jet Airways,18-03-2019,Monday,March,Afternoon,Banglore,New Delhi,BLR → BOM → DEL,3,One Stop,14:05,5:05,19-03-2019,15h,1,No info,13555,900,Yes
IndiGo,12-04-2019,Friday,April,Evening,Banglore,Delhi,BLR → DEL,2,Direct,18:55,21:50,12-04-2019,2h 55m,0,No info,5780,175,Yes
Vistara,12-05-2019,Sunday,May,Evening,Kolkata,Banglore,CCU → DEL → BLR,3,One Stop,20:20,9:05,13-05-2019,12h 45m,1,No info,9397,765,Yes
Jet Airways,06-03-2019,Wednesday,March,Evening,Delhi,Cochin,DEL → BOM → COK,3,One Stop,18:15,4:25,07-03-2019,10h 10m,1,No info,17024,610,Yes
GoAir,27-06-2019,Thursday,June,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,7:00,12:55,27-06-2019,5h 55m,1,No info,5281,355,Yes
Multiple carriers,18-05-2019,Saturday,May,Morning,Delhi,Cochin,DEL → HYD → COK,3,One Stop,7:05,22:30,18-05-2019,15h 25m,1,No info,10348,925,Yes
Air India,06-03-2019,Wednesday,March,Afternoon,Delhi,Cochin,DEL → MAA → COK,3,One Stop,17:20,9:25,07-03-2019,16h 5m,1,No info,12677,965,Yes
Multiple carriers,03-03-2019,Sunday,March,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,15:25,1:35,04-03-2019,10h 10m,1,No info,15147,610,Yes
Vistara,12-06-2019,Wednesday,June,Morning,Banglore,Delhi,BLR → DEL,2,Direct,7:00,9:40,12-06-2019,2h 40m,0,No info,4668,160,Yes
Jet Airways,09-05-2019,Thursday,May,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,7:05,19:00,09-05-2019,11h 55m,1,No info,15554,715,Yes
SpiceJet,09-04-2019,Tuesday,April,Night,Banglore,Delhi,BLR → DEL,2,Direct,5:55,8:35,09-04-2019,2h 40m,0,No info,3971,160,Yes
Air India,03-05-2019,Friday,May,Afternoon,Mumbai,Hyderabad,BOM → HYD,2,Direct,15:00,16:25,03-05-2019,1h 25m,0,No info,3100,85,Yes
Jet Airways,06-05-2019,Monday,May,Evening,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,20:00,10:05,07-05-2019,14h 5m,1,In-flight meal included,9663,845,Yes
Air India,01-03-2019,Friday,March,Evening,Delhi,Cochin,DEL → BOM → COK,3,One Stop,23:00,19:15,02-03-2019,20h 15m,1,No info,27430,1215,Yes
IndiGo,12-05-2019,Sunday,May,Night,Chennai,Kolkata,MAA → CCU,2,Direct,5:15,7:40,12-05-2019,2h 25m,0,No info,3540,145,Yes
Air India,21-05-2019,Tuesday,May,Afternoon,Kolkata,Banglore,CCU → BBI → BOM → BLR,4,Two Stops,12:00,11:10,22-05-2019,23h 10m,2,No info,10676,1390,Yes
Jet Airways,12-06-2019,Wednesday,June,Afternoon,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,14:05,8:15,13-06-2019,18h 10m,1,No info,13044,1090,Yes
Jet Airways,06-05-2019,Monday,May,Evening,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,20:00,12:00,07-05-2019,16h,1,No info,14388,960,Yes
IndiGo,24-06-2019,Monday,June,Night,Banglore,Delhi,BLR → DEL,2,Direct,4:00,6:50,24-06-2019,2h 50m,0,No info,3943,170,Yes
IndiGo,03-06-2019,Monday,June,Afternoon,Chennai,Kolkata,MAA → CCU,2,Direct,14:45,17:05,03-06-2019,2h 20m,0,No info,3597,140,Yes
Air India,21-03-2019,Thursday,March,Morning,Banglore,New Delhi,BLR → MAA → DEL,3,One Stop,11:50,19:50,21-03-2019,8h,1,No info,5932,480,Yes
Jet Airways,15-06-2019,Saturday,June,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,11:30,4:25,16-06-2019,16h 55m,1,In-flight meal included,10262,1015,Yes
Vistara,12-05-2019,Sunday,May,Afternoon,Delhi,Cochin,DEL → COK,2,Direct,14:40,17:50,12-05-2019,3h 10m,0,No info,6216,190,Yes
IndiGo,15-06-2019,Saturday,June,Evening,Kolkata,Banglore,CCU → BLR,2,Direct,20:25,23:10,15-06-2019,2h 45m,0,No info,4804,165,Yes
Multiple carriers,21-05-2019,Tuesday,May,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,11:30,1:30,22-05-2019,14h,1,No info,14067,840,Yes
Jet Airways,18-05-2019,Saturday,May,Evening,Delhi,Cochin,DEL → AMD → BOM → COK,4,Two Stops,19:10,19:00,19-05-2019,23h 50m,2,No info,15129,1430,Yes
Jet Airways,06-06-2019,Thursday,June,Morning,Delhi,Cochin,DEL → NAG → BOM → COK,4,Two Stops,6:45,4:25,07-06-2019,21h 40m,2,No info,13376,1300,Yes
Air India,27-06-2019,Thursday,June,Evening,Delhi,Cochin,DEL → GOI → BOM → COK,4,Two Stops,22:00,19:15,28-06-2019,21h 15m,2,No info,10441,1275,Yes
Jet Airways,24-05-2019,Friday,May,Morning,Banglore,Delhi,BLR → DEL,2,Direct,6:00,8:45,24-05-2019,2h 45m,0,In-flight meal included,4030,165,Yes
Jet Airways,03-03-2019,Sunday,March,Morning,Delhi,Cochin,DEL → BOM → COK,3,One Stop,8:00,18:50,03-03-2019,10h 50m,1,No info,17024,650,Yes
Multiple carriers,09-04-2019,Tuesday,April,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,17:30,1:30,10-04-2019,8h,1,No info,13017,480,Yes
GoAir,06-06-2019,Thursday,June,Evening,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,23:30,7:45,07-06-2019,8h 15m,1,No info,6686,495,Yes
IndiGo,15-06-2019,Saturday,June,Night,Delhi,Cochin,DEL → MAA → COK,3,One Stop,2:00,7:25,15-06-2019,5h 25m,1,No info,5636,325,Yes
IndiGo,09-06-2019,Sunday,June,Morning,Delhi,Cochin,DEL → HYD → COK,3,One Stop,7:35,16:10,09-06-2019,8h 35m,1,No info,6442,515,Yes
Multiple carriers,21-05-2019,Tuesday,May,Afternoon,Delhi,Cochin,DEL → HYD → COK,3,One Stop,13:05,0:55,22-05-2019,11h 50m,1,No info,9486,710,Yes
Jet Airways,21-05-2019,Tuesday,May,Evening,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,20:00,23:35,21-05-2019,27h 35m,1,In-flight meal included,10844,1655,Yes
Jet Airways,03-06-2019,Monday,June,Evening,Delhi,Cochin,DEL → ATQ → BOM → COK,4,Two Stops,20:00,4:25,04-06-2019,8h 25m,2,In-flight meal included,15318,505,Yes
Air India,03-04-2019,Wednesday,April,Afternoon,Delhi,Cochin,DEL → MAA → COK,3,One Stop,12:30,9:25,04-04-2019,20h 55m,1,No info,5117,1255,Yes
IndiGo,24-06-2019,Monday,June,Afternoon,Delhi,Cochin,DEL → BLR → COK,3,One Stop,15:10,20:00,24-06-2019,4h 50m,1,No info,6147,290,Yes
Multiple carriers,09-06-2019,Sunday,June,Afternoon,Delhi,Cochin,DEL → BOM → COK,3,One Stop,12:50,21:00,09-06-2019,8h 10m,1,No info,7005,490,Yes
SpiceJet,03-04-2019,Wednesday,April,Evening,Kolkata,Banglore,CCU → BLR,2,Direct,22:20,0:40,04-04-2019,2h 20m,0,No info,3873,140,Yes
Jet Airways,21-03-2019,Thursday,March,Evening,Delhi,Cochin,DEL → BDQ → BOM → COK,4,Two Stops,18:25,18:50,21-03-2019,24h 25m,2,In-flight meal included,9270,1465,Yes
GoAir,27-06-2019,Thursday,June,Morning,Banglore,Delhi,BLR → DEL,2,Direct,11:40,14:30,27-06-2019,2h 50m,0,No info,3898,170,Yes
Jet Airways,12-05-2019,Sunday,May,Morning,Kolkata,Banglore,CCU → BOM → BLR,3,One Stop,8:25,20:45,12-05-2019,12h 20m,1,No info,14781,740,Yes
